date,AAR,BT,Bus,CBD Entries,CRZ Entries,LIRR,MNR,SIR,Subway
2021-05-24,21563,872507,1192453,,,105528,55179,4252,2118877
2021-05-25,22854,905301,1253998,,,110871,58737,4683,2270945
2021-05-26,23594,923924,1241052,,,114548,59613,4429,2275882
2021-05-27,23450,973897,1246269,,,117293,62852,4619,2352019
2021-05-28,21520,934622,1135369,,,112780,66048,4047,2232599
2021-05-29,11734,746640,648192,,,54774,38894,1332,1370135
2021-05-30,10028,665576,484864,,,43418,30072,956,1065176
2021-05-31,10380,757928,702801,,,102292,43039,1651,1389651
2021-06-01,22308,910608,1230127,,,114759,94923,4705,2258831
2021-06-02,24325,913501,1249102,,,112503,90821,4772,2343745
2021-06-03,23026,898343,1143159,,,102751,84815,4419,2233917
2021-06-04,22743,933507,1160335,,,104564,88908,4308,2310032
2021-06-05,14636,949213,874545,,,72827,62687,,1792204
2021-06-06,12514,924262,654780,,,61866,51469,,1363344
2021-06-07,21511,900055,1200737,,,112097,89412,4348,2223265
2021-06-08,22948,881384,1175335,,,108346,87986,4561,2265591
2021-06-09,23868,911424,1259005,,,107918,90641,4586,2386026
2021-06-10,23498,954252,1276901,,,113236,91323,4801,2473818
2021-06-11,23324,971852,1221484,,,118259,94566,4371,2468258
2021-06-12,14450,921587,849178,,,68188,61468,,1775538
2021-06-13,12047,889307,647385,,,59186,51712,,1379959
2021-06-14,21568,872138,1176722,,,115254,91064,4205,2223186
2021-06-15,23460,920824,1277203,,,117580,96688,4925,2469785
2021-06-16,24788,949017,1288040,,,119205,94690,4745,2519444
2021-06-17,23292,976995,1281552,,,121580,98435,4989,2552497
2021-06-18,22491,992677,1235675,,,122848,104304,4549,2572013
2021-06-19,13949,955520,841519,,,76508,66134,,1784312
2021-06-20,13189,953899,652557,,,76969,60876,,1389352
2021-06-21,20512,929097,1191844,,,123918,95740,4601,2264368
2021-06-22,22293,899940,1172110,,,116165,97637,4648,2354873
2021-06-23,24223,950036,1264095,,,121867,101864,5027,2547416
2021-06-24,22842,981805,1248843,,,121542,100509,5045,2552639
2021-06-25,22400,991962,1214123,,,126722,100537,4712,2582713
2021-06-26,13520,952815,841585,,,76560,66738,1682,1854179
2021-06-27,11883,902209,656004,,,75058,62411,1436,1559967
2021-06-28,20503,927751,1152019,,,122263,101482,4564,2252362
2021-06-29,21612,933165,1169268,,,119355,97829,4717,2343739
2021-06-30,23001,948951,1139886,,,119358,99455,4476,2346388
2021-07-01,22011,936649,1104516,,,114363,90018,4598,2292461
2021-07-02,21489,922888,1121116,,,116542,94252,4258,2296044
2021-07-03,12676,779202,738089,,,63827,57381,1768,1541988
2021-07-04,12816,775329,615001,,,70165,63948,1815,1468510
2021-07-05,10303,840026,770321,,,78370,59711,2005,1495709
2021-07-06,22648,906534,1181416,,,127893,100494,4690,2302002
2021-07-07,23637,929636,1234617,,,122603,99137,5028,2437064
2021-07-08,22941,904145,1164513,,,116274,93197,4785,2364250
2021-07-09,20632,891652,1115969,,,109420,88347,4325,2318387
2021-07-10,14518,928279,855908,,,72964,64429,2204,1781717
2021-07-11,11725,831831,635511,,,62559,53178,1549,1365854
2021-07-12,20623,868819,1171521,,,120503,99023,4563,2245412
2021-07-13,22286,898686,1239045,,,123373,105314,5117,2457526
2021-07-14,23662,922118,1260044,,,120455,101843,5018,2517615
2021-07-15,23772,974213,1275846,,,125587,105171,5209,2581582
2021-07-16,21730,986778,1219118,,,123465,104331,4626,2536569
2021-07-17,13228,899370,795347,,,73001,64513,,1717480
2021-07-18,11313,840618,640618,,,67362,56174,,1405344
2021-07-19,20276,900042,1208792,,,126653,103403,4717,2327756
2021-07-20,22213,927426,1217802,,,125809,107009,5015,2462002
2021-07-21,22865,917932,1225595,,,121530,104862,4934,2504568
2021-07-22,23122,966822,1279778,,,127275,102275,5187,2582151
2021-07-23,22314,988320,1219255,,,130474,101070,4713,2552330
2021-07-24,14042,952994,856250,,,84852,68579,,1852402
2021-07-25,11419,866473,625645,,,66417,53090,,1364830
2021-07-26,19910,910160,1219135,,,129875,101260,4714,2318455
2021-07-27,22609,922003,1267804,,,128262,102950,5132,2487947
2021-07-28,23145,935188,1276296,,,126767,99976,5004,2534756
2021-07-29,22164,921330,1186642,,,120318,94716,4743,2428764
2021-07-30,22127,991877,1235623,,,131905,103531,4812,2557677
2021-07-31,13932,956181,857333,,,85371,67121,,1841007
2021-08-01,11627,871374,629963,,,66030,51978,,1351294
2021-08-02,19824,906502,1208484,,,126151,102349,4799,2333923
2021-08-03,22828,907760,1262043,,,123949,103249,5262,2483802
2021-08-04,23611,923926,1257876,,,123700,99332,5016,2529002
2021-08-05,22610,959300,1259332,,,119999,98290,5097,2529190
2021-08-06,22179,982889,1222343,,,123238,101218,4500,2519444
2021-08-07,14108,926001,836715,,,76835,67267,,1780458
2021-08-08,11934,845442,598574,,,61066,54265,,1333885
2021-08-09,20540,894251,1183050,,,109865,95599,4845,2289434
2021-08-10,23079,908343,1245670,,,122544,95330,5037,2442194
2021-08-11,23338,934364,1246306,,,119708,94737,4928,2475949
2021-08-12,22427,968699,1223666,,,119717,90818,4764,2448589
2021-08-13,21336,982039,1189426,,,123849,91861,4522,2430102
2021-08-14,13157,907113,811826,,,75664,57650,,1718222
2021-08-15,12395,920539,661705,,,72983,54362,,1430620
2021-08-16,20087,914067,1170216,,,123942,100258,4769,2287627
2021-08-17,22245,912824,1209633,,,120737,103616,5081,2427611
2021-08-18,22715,921094,1210760,,,117216,97853,4878,2445638
2021-08-19,21838,942417,1194375,,,117409,93036,4871,2439624
2021-08-20,21451,973262,1183308,,,124627,99533,4590,2456334
2021-08-21,13046,944121,822340,,,72843,61997,1409,1715030
2021-08-22,7979,490927,369246,,,27528,16121,560,745240
2021-08-23,18809,824488,1032792,,,110003,84223,4062,2052669
2021-08-24,22679,946414,1234884,,,130591,98325,5041,2462365
2021-08-25,23351,960229,1236342,,,127392,93307,5165,2498255
2021-08-26,22068,973060,1222996,,,122067,91039,4995,2480137
2021-08-27,21211,977573,1147249,,,119665,90532,4392,2388210
2021-08-28,12760,892823,776489,,,68988,56208,1661,1659434
2021-08-29,11558,888164,630281,,,68832,54068,2076,1398566
2021-08-30,19224,914180,1182908,,,131574,97092,4695,2321000
2021-08-31,22724,939263,1246463,,,133641,99949,5390,2532584
2021-09-01,20878,813871,1086148,,,118437,90598,4551,2294448
2021-09-02,21179,854132,1188941,,,105647,37898,2620,1661558
2021-09-03,22585,1018830,1221668,,,139807,97937,4450,2390392
2021-09-04,13382,930187,834456,,,84764,57137,2104,1777639
2021-09-05,11931,834523,618622,,,71004,45169,1541,1415352
2021-09-06,10077,815200,733947,,,77906,51338,1966,1521388
2021-09-07,21143,905491,1102372,,,137623,113742,4795,2233674
2021-09-08,22354,899077,1192895,,,135722,110925,5228,2529619
2021-09-09,23653,914235,1249341,,,139547,111708,5378,2702713
2021-09-10,23037,999007,1322430,,,150895,113495,5377,2840443
2021-09-11,13070,913939,870791,,,82235,65329,2182,1983091
2021-09-12,12239,906691,694561,,,77028,58979,1679,1589976
2021-09-13,21898,916302,1441516,,,147829,122504,6133,2852796
2021-09-14,23132,911375,1511145,,,144904,120532,6672,3011275
2021-09-15,23966,908014,1503627,,,139927,116413,6410,2987334
2021-09-16,20826,867301,1210069,,,127995,107680,5308,2534545
2021-09-17,23282,985494,1456201,,,142120,119349,6131,3028545
2021-09-18,14054,951954,871175,,,77267,76288,2582,2014848
2021-09-19,12612,917099,674024,,,69397,64139,1897,1596823
2021-09-20,21889,898321,1481676,,,148068,122101,6548,2883211
2021-09-21,22399,863190,1505803,,,142672,123923,6998,3018312
2021-09-22,23157,875747,1506211,,,139853,120056,6812,3021113
2021-09-23,23031,918503,1483075,,,140127,115473,6724,3016106
2021-09-24,21941,989979,1469705,,,142827,116730,6294,3121747
2021-09-25,13909,956397,872490,,,88460,81282,2719,2129492
2021-09-26,12034,893367,657257,,,80069,64937,2238,1614677
2021-09-27,21209,884188,1489441,,,146154,121534,6715,2873368
2021-09-28,21727,834083,1457421,,,141188,118253,6827,2927715
2021-09-29,23323,889846,1513184,,,137483,120032,6789,3063720
2021-09-30,23555,956940,1516081,,,144838,121842,7104,3146861
2021-10-01,23098,989671,1492942,,,140003,116182,6325,3162881
2021-10-02,14145,926150,883902,,,86563,80946,2562,2063660
2021-10-03,12936,889871,673253,,,74851,66758,1904,1575738
2021-10-04,21794,875071,1419155,,,152598,121256,6591,2864349
2021-10-05,23644,890303,1499767,,,150226,124670,7027,3091160
2021-10-06,24677,917233,1532668,,,149640,123097,6972,3140986
2021-10-07,24571,954572,1523168,,,150072,121407,7298,3190747
2021-10-08,23356,1004577,1473912,,,153755,123609,6660,3168473
2021-10-09,13634,921868,856308,,,84631,81969,47,2052699
2021-10-10,11794,808169,601821,,,65636,59049,166,1499385
2021-10-11,16917,881347,1045865,,,131714,114458,3883,2263615
2021-10-12,23848,913860,1514608,,,154602,128194,7292,3102879
2021-10-13,24396,911369,1511356,,,151319,124790,7198,3157457
2021-10-14,24144,956231,1527543,,,154572,126815,7386,3240686
2021-10-15,23251,994225,1491099,,,150932,124654,6786,3227068
2021-10-16,13307,898875,856990,,,83415,74913,2369,2042027
2021-10-17,12564,893975,663944,,,74826,69729,1853,1629991
2021-10-18,21454,893483,1461843,,,153681,127381,6810,2982883
2021-10-19,23403,902734,1510722,,,153382,129993,7250,3178208
2021-10-20,24474,919558,1525608,,,155242,131127,7148,3234327
2021-10-21,24007,952092,1476434,,,149850,127259,7498,3267697
2021-10-22,22843,989555,1471199,,,145810,126554,6297,3225816
2021-10-23,13556,917178,847596,,,74720,82865,2243,2077488
2021-10-24,12314,885844,659283,,,69611,68154,1908,1599927
2021-10-25,21724,887055,1461023,,,158330,125755,7026,2994936
2021-10-26,21220,741160,1233660,,,130109,104517,5278,2702635
2021-10-27,24144,917505,1503535,,,155865,129881,7054,3300580
2021-10-28,24814,963255,1515489,,,159574,132170,7605,3365971
2021-10-29,22477,966866,1426938,,,153317,122632,6597,3251779
2021-10-30,12642,857403,819620,,,76471,69281,2177,2044310
2021-10-31,12233,826860,656203,,,68674,66300,1910,1746769
2021-11-01,21387,901444,1448304,,,158356,131251,6783,3034306
2021-11-02,22016,856142,1258180,,,147832,129297,5679,2848222
2021-11-03,23349,904407,1507287,,,154203,130954,7371,3293732
2021-11-04,24009,934194,1486942,,,151353,126533,7210,3284315
2021-11-05,23009,969158,1457014,,,150227,121824,6769,3293438
2021-11-06,13672,912929,864499,,,84943,80784,2410,2195864
2021-11-07,10647,781453,614513,,,81181,72175,2978,1888985
2021-11-08,22136,892575,1461178,,,159723,131127,6921,3065533
2021-11-09,24504,901654,1518264,,,157181,134070,7677,3279457
2021-11-10,24608,929094,1514453,,,159254,134400,7445,3351992
2021-11-11,19846,898489,1198235,,,143386,122940,5493,2922235
2021-11-12,21598,922666,1350608,,,141671,117650,6082,3158682
2021-11-13,13124,871491,815114,,,80829,74296,2286,2169863
2021-11-14,12460,860520,657129,,,72488,62856,1772,1703136
2021-11-15,22208,893554,1437414,,,160952,132234,6792,3110969
2021-11-16,23694,905537,1492110,,,161362,137235,7472,3340844
2021-11-17,24396,918450,1501740,,,158372,131113,7453,3369069
2021-11-18,24071,962396,1505488,,,157433,132632,7511,3412249
2021-11-19,22662,990357,1429787,,,151795,127093,6842,3316999
2021-11-20,13195,917658,861772,,,94412,82894,2367,2135731
2021-11-21,12774,844106,674551,,,80467,66859,1827,1674206
2021-11-22,21441,905019,1418226,,,156874,127776,6896,3130363
2021-11-23,22574,992816,1424890,,,162241,136562,7194,3286591
2021-11-24,21002,995900,1343391,,,165349,139391,6589,3085289
2021-11-25,15459,863147,509782,,,125417,69945,1990,1357198
2021-11-26,11077,792098,843588,,,128452,108747,3205,2089772
2021-11-27,10620,853201,750986,,,83676,76112,2216,1880422
2021-11-28,10481,828107,592081,,,75197,65128,1669,1465745
2021-11-29,21124,903634,1381661,,,166154,132498,6692,2996015
2021-11-30,22469,900452,1432539,,,166738,136630,7124,3207209
2021-12-01,23347,902552,1463384,,,163163,136126,7266,3326469
2021-12-02,22540,926424,1449142,,,154723,127508,7290,3358843
2021-12-03,22518,943940,1419078,,,144500,119424,6442,3374097
2021-12-04,13317,867401,864764,,,91477,81392,56,2318147
2021-12-05,12541,820683,665129,,,72716,60526,193,1737352
2021-12-06,21761,868619,1394230,,,154970,127260,6687,3135869
2021-12-07,23262,886247,1453136,,,153749,131033,7367,3367790
2021-12-08,22691,892613,1430106,,,156218,130222,6948,3378727
2021-12-09,22743,931194,1436883,,,154367,126159,7222,3433600
2021-12-10,22237,965370,1404176,,,152524,127711,6331,3417451
2021-12-11,13396,866259,786137,,,91894,81068,2291,2266265
2021-12-12,12189,830347,627007,,,80874,66471,1833,1829872
2021-12-13,21617,877362,1333718,,,153387,129698,6769,3120850
2021-12-14,23042,897872,1378221,,,154939,131812,7124,3274170
2021-12-15,23732,924242,1436154,,,153128,129761,6908,3242168
2021-12-16,23623,951943,1438193,,,152710,126131,7043,3219799
2021-12-17,22539,971958,1375383,,,146111,121037,6404,3112088
2021-12-18,12312,835445,786073,,,74306,66097,1987,1880969
2021-12-19,12238,786107,636393,,,65698,56292,1694,1579809
2021-12-20,20318,859924,1277654,,,132078,102695,5979,2716451
2021-12-21,21656,869653,1299476,,,124376,97141,5772,2697325
2021-12-22,21673,881278,1252621,,,117678,92941,5594,2634565
2021-12-23,19335,902401,1166953,,,118388,97238,5000,2486489
2021-12-24,12009,740855,746809,,,97408,81055,2289,1575449
2021-12-25,9021,584049,329549,,,39466,31575,1008,810937
2021-12-26,8744,675064,518897,,,56467,51478,1746,1284738
2021-12-27,14952,746815,890096,,,108463,89427,4026,2007649
2021-12-28,16736,766806,953933,,,109904,89719,4372,2168419
2021-12-29,16859,771050,921562,,,105898,92605,3996,2167077
2021-12-30,16177,807146,928012,,,110101,90827,3944,2198415
2021-12-31,11498,630015,699749,,,96699,85232,2270,1627589
2022-01-01,4904,499757,350845,,,33980,30341,1262,1027918
2022-01-02,8383,626163,475096,,,49155,42587,1571,1219735
2022-01-03,16437,694958,1000002,,,102961,83990,4515,2168229
2022-01-04,17909,735904,1082360,,,104247,81978,4795,2289352
2022-01-05,18861,711791,1078511,,,98251,77579,4659,2267942
2022-01-06,18672,782852,1146904,,,103562,82567,4909,2391176
2022-01-07,14203,562835,880997,,,90207,73067,3628,2121941
2022-01-08,9126,643474,631341,,,51707,46428,1672,1486065
2022-01-09,7916,569609,475438,,,43383,35309,1210,1102472
2022-01-10,18268,765513,1147341,,,116463,90220,4954,2347323
2022-01-11,17388,756288,1040581,,,104378,81438,4655,2266378
2022-01-12,19679,787829,1179931,,,111022,86050,5024,2459224
2022-01-13,19918,824338,1218552,,,112519,87672,5132,2524197
2022-01-14,18878,869815,1186647,,,109199,88634,4774,2522972
2022-01-15,9510,705503,573037,,,53410,45309,1449,1434676
2022-01-16,8545,623464,456257,,,43578,38025,1140,1165626
2022-01-17,8760,651716,694066,,,98738,44075,2190,1600048
2022-01-18,19389,818509,1222195,,,125615,100364,5381,2541044
2022-01-19,21111,832838,1286788,,,121249,96281,5598,2642129
2022-01-20,18616,769646,1181953,,,112595,88196,5031,2545486
2022-01-21,19079,867194,1151816,,,113474,91079,4748,2565781
2022-01-22,10455,737812,655490,,,59412,53737,1642,1583650
2022-01-23,9446,687231,529115,,,48672,43647,1245,1245716
2022-01-24,19472,795086,1244112,,,127750,100520,5188,2536827
2022-01-25,21233,820013,1308979,,,124499,98859,5625,2701246
2022-01-26,21033,837062,1266798,,,118625,96253,5197,2711803
2022-01-27,20934,872809,1275573,,,119039,95748,5271,2724979
2022-01-28,20115,869982,1208092,,,120912,96409,4994,2703403
2022-01-29,5353,175153,271959,,,8142,22016,852,999347
2022-01-30,5974,508250,460299,,,47852,45002,1233,1262477
2022-01-31,18400,780818,1139164,,,132248,109718,4968,2575762
2022-02-01,20357,807457,1127084,,,135255,111424,4993,2635083
2022-02-02,22427,850217,1314898,,,140059,110996,5830,2940152
2022-02-03,22325,856424,1304726,,,126901,104093,5750,2914198
2022-02-04,18557,783827,1176367,,,117899,94290,5072,2725725
2022-02-05,11377,777501,726750,,,61201,61496,1835,1792780
2022-02-06,10621,746914,558211,,,51472,48395,1388,1323892
2022-02-07,21120,812233,1297024,,,136455,111297,5711,2784230
2022-02-08,22667,854542,1387432,,,141653,119190,6254,3016648
2022-02-09,23863,871206,1421706,,,143673,115341,6297,3088775
2022-02-10,23341,909096,1423775,,,143062,115707,6362,3112489
2022-02-11,22608,942501,1348189,,,131038,110674,5570,3015472
2022-02-12,13376,870106,820629,,,71709,71813,2295,2026308
2022-02-13,10013,657087,510307,,,50534,46395,1322,1349864
2022-02-14,20812,866856,1272100,,,142507,113260,5803,2907825
2022-02-15,21922,878210,1340123,,,146607,119034,6447,3030742
2022-02-16,23513,879005,1406714,,,140431,115325,6337,3100639
2022-02-17,23713,914714,1408571,,,141226,115718,6527,3109956
2022-02-18,21470,951358,1285978,,,129403,112030,5677,2953785
2022-02-19,12171,815513,723602,,,64696,66545,2108,1792136
2022-02-20,11017,771043,571789,,,55015,54863,1517,1477125
2022-02-21,12500,818941,873961,,,109882,63892,2781,1942267
2022-02-22,19233,850497,1143526,,,135406,112764,5767,2669508
2022-02-23,23807,895786,1247209,,,140229,119188,6116,2894245
2022-02-24,21868,915117,1196924,,,132496,110395,5879,2858146
2022-02-25,18740,797593,1027563,,,114658,90953,4544,2575630
2022-02-26,12226,849716,775358,,,71783,61573,2012,1824833
2022-02-27,11337,804598,604646,,,62913,51604,1523,1403227
2022-02-28,21929,862259,1362855,,,134902,118572,6170,2915786
2022-03-01,22944,876569,1435834,,,165769,150787,6655,3138181
2022-03-02,24289,899781,1463263,,,159238,140945,6680,3208166
2022-03-03,23800,926783,1434851,,,152883,132506,6674,3207495
2022-03-04,22821,961106,1363159,,,145518,125143,5807,3077537
2022-03-05,13269,867876,812774,,,69010,70427,2116,1955535
2022-03-06,12557,789754,600501,,,53034,52874,1550,1444501
2022-03-07,22465,864299,1395540,,,153907,129784,6161,2980920
2022-03-08,24076,897362,1456451,,,158652,138811,6923,3244473
2022-03-09,23477,835746,1338822,,,153393,129056,6200,3113559
2022-03-10,24515,948773,1476288,,,163931,140107,6914,3339363
2022-03-11,23736,990070,1419371,,,158985,135371,6150,3195956
2022-03-12,10655,671669,637601,,,51679,59927,1748,1663893
2022-03-13,11491,794706,590753,,,59964,57548,1524,1479406
2022-03-14,22480,882934,1406578,,,159962,134093,6416,3008800
2022-03-15,24272,909941,1454522,,,171406,146786,7287,3275906
2022-03-16,25305,917605,1476356,,,168768,145085,7009,3332335
2022-03-17,22946,893127,1350810,,,166884,135727,6768,3175784
2022-03-18,24019,981768,1402806,,,163169,137528,6288,3275433
2022-03-19,12877,875244,820933,,,74087,73974,2050,2001839
2022-03-20,12736,881977,628693,,,67551,63818,1722,1656673
2022-03-21,22229,883735,1418900,,,165487,134182,6367,3034759
2022-03-22,23948,894131,1471299,,,168328,144765,7082,3276940
2022-03-23,24574,894741,1438665,,,161202,138873,6540,3275708
2022-03-24,22998,904173,1373850,,,162392,134129,6513,3212181
2022-03-25,23274,970985,1397899,,,158528,133368,6075,3218970
2022-03-26,13208,877816,783499,,,71809,73933,2154,2024596
2022-03-27,11809,832550,628313,,,64950,58044,1602,1534056
2022-03-28,22114,871384,1336330,,,153222,130886,6096,2989874
2022-03-29,23981,889455,1430099,,,163218,143870,6900,3291883
2022-03-30,24620,916351,1465351,,,164882,143216,6920,3336073
2022-03-31,24308,944890,1450363,,,164074,139602,6890,3323135
2022-04-01,24017,976037,1411421,,,145251,120557,5972,3237107
2022-04-02,14382,896424,879513,,,77205,80471,2484,2128435
2022-04-03,12947,792710,607152,,,58819,53761,1419,1463932
2022-04-04,23746,902607,1447820,,,159541,135920,6676,3127667
2022-04-05,24873,908321,1484961,,,170140,150671,7089,3356454
2022-04-06,25103,893879,1403198,,,163830,142810,6569,3311547
2022-04-07,24107,904982,1379678,,,161276,140249,6636,3307076
2022-04-08,24488,1001814,1443367,,,160905,140791,6342,3347754
2022-04-09,13969,900306,868945,,,81562,86611,66,2190396
2022-04-10,13935,852451,667662,,,63204,66112,13,1707748
2022-04-11,23569,904713,1433226,,,161131,140224,6354,3205728
2022-04-12,25286,939901,1496004,,,172294,149369,7099,3078069
2022-04-13,25847,953204,1495891,,,163448,147043,6593,3220964
2022-04-14,25073,986192,1438990,,,162946,144335,6381,3297697
2022-04-15,20908,976485,1137728,,,166068,140217,4728,2761532
2022-04-16,13413,887976,830874,,,89011,83725,2133,1986306
2022-04-17,14704,847553,596619,,,71258,71704,1640,1512633
2022-04-18,20245,904416,1145261,,,154315,139151,5209,2676254
2022-04-19,22359,898329,1189960,,,168354,151518,5841,2962130
2022-04-20,24212,945766,1265823,,,171730,155674,6097,3098046
2022-04-21,23239,923401,1231047,,,165823,147535,5738,3033422
2022-04-22,22298,938923,1217380,,,157943,145606,5340,2985684
2022-04-23,13459,910229,844146,,,79436,89804,59,2109188
2022-04-24,12927,877831,648591,,,64842,67580,3,1655860
2022-04-25,22370,887314,1415638,,,159569,138979,6322,3026541
2022-04-26,23800,901009,1453452,,,172171,153893,7024,3281657
2022-04-27,25229,938124,1500437,,,172613,153109,6903,3432282
2022-04-28,24321,972482,1468093,,,167300,146321,6765,3404938
2022-04-29,23421,1005265,1429909,,,164944,136881,5900,3257634
2022-04-30,14223,945852,884540,,,82887,82838,2123,2108746
2022-05-01,12976,862097,676070,,,64630,62502,2694,1683953
2022-05-02,21695,886528,1176867,,,146394,126784,5425,2732825
2022-05-03,24680,933396,1500109,,,177868,155261,7400,3402882
2022-05-04,25462,925182,1465639,,,168539,147078,6747,3364902
2022-05-05,25903,986486,1523580,,,174640,150087,7061,3502522
2022-05-06,23411,957636,1353750,,,154325,129417,5729,3190556
2022-05-07,13033,843628,706551,,,72948,68612,1523,1842808
2022-05-08,15375,893775,630228,,,73703,73027,1449,1582133
2022-05-09,22008,920508,1428758,,,163741,140940,6564,3114506
2022-05-10,24148,936853,1504314,,,175823,158627,7176,3412902
2022-05-11,25548,951909,1514922,,,178061,156792,7159,3440378
2022-05-12,25158,984799,1495220,,,169543,149204,6866,3430104
2022-05-13,23539,1001973,1410923,,,164843,140065,6050,3252002
2022-05-14,13580,921216,840921,,,89636,86652,69,2149046
2022-05-15,13379,911186,692876,,,76052,69705,5,1760359
2022-05-16,22187,901887,1396300,,,163431,140702,5996,3080043
2022-05-17,24353,954976,1519740,,,182683,162082,7259,3536021
2022-05-18,25365,985992,1511142,,,182181,161135,6816,3605606
2022-05-19,24271,986913,1426027,,,172517,149985,6790,3467327
2022-05-20,23767,1015453,1396732,,,175666,146403,6040,3271914
2022-05-21,14985,986370,883795,,,94322,92552,2530,2324245
2022-05-22,13279,922608,683500,,,78635,72063,1863,1760638
2022-05-23,22696,947348,1431781,,,170546,151349,6356,3111755
2022-05-24,24560,945831,1488152,,,182570,163943,7023,3378506
2022-05-25,25418,963168,1493506,,,178124,158814,6862,3426530
2022-05-26,24866,1005411,1464696,,,176469,148011,6549,3341059
2022-05-27,22894,979279,1353398,,,167840,135294,5737,3031130
2022-05-28,12805,835815,788135,,,91250,77192,2191,1872775
2022-05-29,14490,893856,701173,,,84784,76982,2276,1755236
2022-05-30,10771,841659,755616,,,80533,68206,2251,1694970
2022-05-31,23778,971866,1426470,,,184088,163018,6634,3176109
2022-06-01,25586,947288,1465383,,,178742,159050,7084,3381297
2022-06-02,24764,962810,1433303,,,170537,151492,6783,3351902
2022-06-03,24838,1005636,1431042,,,174500,153744,6178,3283271
2022-06-04,14409,959738,904623,,,93431,92199,1844,2178024
2022-06-05,13955,887504,691644,,,75675,74005,1361,1724983
2022-06-06,22794,895917,1411725,,,167062,148152,6552,3092181
2022-06-07,25256,944223,1440940,,,185736,163756,7169,3392224
2022-06-08,26058,962199,1496144,,,181126,162417,7114,3492805
2022-06-09,25135,978649,1333103,,,179521,157460,6430,3297157
2022-06-10,25437,1031830,1435660,,,187819,159223,6304,3376125
2022-06-11,14776,964587,870550,,,117891,95108,1835,2231451
2022-06-12,13440,886355,626471,,,80792,74580,1209,1674607
2022-06-13,23697,947035,1440429,,,174264,150375,6608,3168681
2022-06-14,25372,957954,1493761,,,191198,174340,7276,3494822
2022-06-15,26904,979083,1478668,,,192593,169462,7153,3526802
2022-06-16,25856,997575,1397317,,,190212,162513,6720,3409624
2022-06-17,24338,1040063,1397243,,,187179,148590,6036,3247379
2022-06-18,15136,990282,884050,,,106091,94130,2613,2186635
2022-06-19,15622,948850,693231,,,90581,80654,1903,1725762
2022-06-20,15440,945254,1077190,,,167670,138080,4009,2460659
2022-06-21,25299,955506,1408052,,,190339,172400,7183,3339793
2022-06-22,25774,940715,1361456,,,178850,164196,6910,3357113
2022-06-23,25286,1007745,1382605,,,188546,169144,6716,3407485
2022-06-24,24414,1038953,1331442,,,187818,161647,6066,3296412
2022-06-25,15274,997542,888953,,,106000,102466,50,2286963
2022-06-26,14574,965214,696910,,,102452,99103,618,2011977
2022-06-27,22331,931830,1279403,,,171627,149284,6260,2932598
2022-06-28,24179,964114,1328144,,,199956,174878,6903,3248338
2022-06-29,25392,982600,1325530,,,191855,169146,6792,3249261
2022-06-30,24651,1016153,1300241,,,191868,158265,6407,3151572
2022-07-01,23983,1002264,1221837,,,151245,117791,5291,2827549
2022-07-02,12878,826242,827668,,,84481,75179,2042,1847093
2022-07-03,14822,847916,703282,,,86602,73949,1909,1654774
2022-07-04,10976,774919,689986,,,85709,72464,2148,1608084
2022-07-05,22800,929050,1246208,,,169990,150170,5935,2802814
2022-07-06,25372,921175,1330990,,,173648,153543,6448,3066462
2022-07-07,25119,950059,1333373,,,173393,151105,6463,3115604
2022-07-08,24108,952918,1249434,,,163715,134620,5625,2902322
2022-07-09,14546,920380,885289,,,92765,89757,2563,2061419
2022-07-10,14147,923563,707984,,,82276,71195,2016,1681041
2022-07-11,23255,917153,1312895,,,167475,148113,6163,2876587
2022-07-12,24697,916624,1350346,,,180172,164494,6780,3148320
2022-07-13,25800,947694,1365172,,,178413,166187,6536,3229387
2022-07-14,25312,981268,1355975,,,174794,159599,6413,3203104
2022-07-15,24177,997636,1291217,,,171615,148858,5527,3021651
2022-07-16,15226,942248,859537,,,101758,98156,64,2093206
2022-07-17,13868,902737,701796,,,82028,80166,7,1674922
2022-07-18,22670,880836,1209240,,,162178,132779,5543,2720012
2022-07-19,24933,935755,1372407,,,180693,160294,6593,3169016
2022-07-20,25590,948736,1357383,,,180707,156988,6167,3190942
2022-07-21,24308,957980,1302978,,,173070,150414,6166,3109097
2022-07-22,23926,996410,1267907,,,174861,138068,5322,2942752
2022-07-23,14503,949126,862976,,,99341,86245,32,2028696
2022-07-24,12751,911373,674189,,,82656,68265,6,1596195
2022-07-25,22355,896490,1220826,,,163454,140432,5692,2727722
2022-07-26,24990,945428,1360570,,,186182,162994,6479,3175001
2022-07-27,25759,961077,1369023,,,185332,161241,6667,3232796
2022-07-28,24413,977651,1332113,,,173264,156936,6421,3151913
2022-07-29,23697,983238,1260714,,,166723,147568,5532,2932846
2022-07-30,15068,957931,893846,,,89426,96840,56,2074421
2022-07-31,14046,932337,693700,,,77991,78953,3,1649097
2022-08-01,22892,907827,1240007,,,151752,138431,5673,2739262
2022-08-02,24865,922437,1346324,,,173023,158236,6452,3070101
2022-08-03,26785,950670,1367848,,,173751,158305,6170,3124038
2022-08-04,25326,980062,1323229,,,174491,147770,5409,3049076
2022-08-05,23824,979699,1260961,,,161323,129376,4754,2822155
2022-08-06,14893,947549,865676,,,95704,84495,33,1999580
2022-08-07,14367,884982,670866,,,78449,66242,153,1542311
